Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;Player-additional
503;Lindy Waters III;SG;25;OKC;41;0;531;70;178;0,272916667;58;162;0,248611111;12;16;0,052083333;0,386111111;16;20;00.08;16;59;75;28;14;11;10;42;214;waterli01
504;Trendon Watford;PF;22;POR;62;12;1182;181;323;00.56;25;64;0,271527778;156;259;0,418055556;0,415972222;72;100;0,05;42;196;238;130;32;12;71;118;459;watfotr01
505;Peyton Watson;SG;20;DEN;23;2;186;29;59;0,341666667;6;14;0,297916667;23;45;0,354861111;0,376388889;11;20;00.55;8;29;37;11;2;11;8;14;75;watsope01
506;Blake Wesley;SG;19;SAS;37;1;669;69;215;0,222916667;20;52;0,267361111;49;163;0,209027778;0,254861111;26;44;0,410416667;11;70;81;99;25;5;65;67;184;weslebl01
507;Russell Westbrook;PG;34;LAC;73;24;2126;432;991;0,302777778;89;286;0,215972222;343;705;0,338194444;0,334027778;206;314;0,455555556;89;334;423;551;76;33;255;162;1159;westbru01
508;Coby White;SG;22;CHI;74;2;1730;263;594;0,307638889;128;344;0,258333333;135;250;00.54;0,382638889;61;70;0,604861111;16;196;212;204;54;6;74;122;715;whiteco01
509;Derrick White;SG;28;BOS;82;70;2319;350;758;0,320833333;149;391;0,264583333;201;367;0,380555556;00.56;168;192;0,607638889;52;241;293;321;54;76;95;177;1017;whitede01
510;Jack White;SF;25;DEN;17;0;66;8;19;0,292361111;3;9;0,23125;5;10;00.05;00.05;2;3;0,463194444;6;11;17;4;3;2;2;9;21;whiteja03
511;Joe Wieskamp;SF;23;TOR;9;0;50;3;14;0,148611111;3;12;00.25;0;2;0;0,222916667;0;0;;0;4;4;3;0;0;1;3;9;wieskjo01
512;Aaron Wiggins;SG;24;OKC;70;14;1297;186;363;0,355555556;48;122;0,272916667;138;241;0,397916667;0,402083333;59;71;0,577083333;68;142;210;80;39;15;55;110;479;wiggiaa01
513;Andrew Wiggins;SF;27;GSW;37;37;1190;250;529;0,328472222;89;225;0,275;161;304;00.53;0,386805556;44;72;0,424305556;61;125;186;85;45;28;48;107;633;wiggian01
514;Lindell Wigginton;PG;24;MIL;7;1;87;18;37;0,3375;6;18;0,23125;12;19;0,438888889;0,394444444;8;9;0,617361111;0;7;7;14;0;2;12;7;50;wiggili01
515;Alondes Williams;SG;23;BRK;1;0;5;0;0;;0;0;;0;0;;;0;0;;0;1;1;0;0;0;2;1;0;willial06
516;Donovan Williams;SG;21;ATL;2;0;4;2;5;00.04;0;2;0;2;3;0,463194444;00.04;0;0;;0;2;2;0;0;0;0;0;4;willido02
517;Grant Williams;PF;24;BOS;79;23;2045;216;476;0,315277778;115;291;0,274305556;101;185;0,379166667;0,399305556;94;122;0,053472222;87;276;363;131;41;31;82;192;641;willigr01
518;Jalen Williams;SG;21;OKC;75;62;2276;414;794;0,361805556;73;205;0,247222222;341;589;0,402083333;0,39375;155;191;0,563888889;84;253;337;248;103;35;123;191;1056;willija06
519;Jaylin Williams;C;20;OKC;49;36;914;102;234;0,302777778;46;113;0,282638889;56;121;0,321527778;0,370833333;38;54;0,488888889;44;197;241;76;28;12;37;111;288;willija07
